企业编号,企业名称,企业分类,企业经度,企业纬度,格子0,排口名称
10,晋能长治热电有限公司,dianligongre,113.020357,36.19167,1293,废气排放口1;废气排放口2;
42,山西漳泽电力股份有限公司漳泽发电分公司,dianligongre,113.087387,36.32019,2181,废气排放口1对应3机组;废气排放口2对应4机组;废气排放口3对应5机组;
60,山西漳山发电有限责任公司,dianligongre,113.084575,36.319703,2181,1号炉废气排放口;2号炉废气排放口;3号炉废气排放口;4号炉废气排放口;
19,长治市霍氏自备电力有限公司,dianligongre,113.05917,36.405112,2745,废气排放口;
3,山西潞安矿业（集团）有限责任公司五阳热电厂,dianligongre,112.982333,36.443191,3054,
25,襄垣县诚丰电力有限公司,dianligongre,112.972553,36.501388,3431,1号炉废气排放口;2号炉废气排放口;3号炉废气排放口;4号炉废气排放口;5号炉废气排放口;6号炉废气排放口;
47,山西潞安容海发电有限责任公司,dianligongre,112.985025,36.497906,3432,1号炉废气排放口;2号炉废气排放口;
20,山西潞安余吾热电有限责任公司,dianligongre,112.858218,36.362611,2476,1号炉废气排放口;2号炉废气排放口;
65,武乡西山发电有限责任公司,dianligongre,112.846048,36.825814,-1,1号炉废气排放口;2号炉废气排放口;焦炉烟囱排口2;
8,山西鲁晋王曲发电有限责任公司,dianligongre,113.201779,36.347681,2380,2号炉废气排放口;
16,天脊煤化工集团有限公司热动厂,dianligongre,113.254439,36.325596,2259,
34,山西沁新能源集团股份有限公司煤矸石发电厂,dianligongre,112.190147,36.580069,-1,1号锅炉脱硫脱硝设施出口3X35t;6号锅炉脱硫脱硝设施出口A135t;6号锅炉脱硫脱硝设施出口B135t;
14,首钢长钢有限公司,gangtie,113.05343,36.361179,2493,
53,山西长信工业有限公司,gangtie,113.124899,36.328222,2247,2号烧结机头废气排放口;
50,黎城太行钢铁有限公司,gangtie,113.3779,36.52892,-1,
,黎城县金元钢铁有限公司,gangtie,,,-1,
35,潞城市兴宝钢铁有限责任公司,gangtie,113.163108,36.334014,2314,烧结机头废气排放口;
,壶关常平钢铁有限公司,gangtie,,,933,
188,山西南耀集团科保建材有限公司,shuiniboli,113.107184,36.071004,482,
51,长治县三元王庄华泰水泥有限公司,shuiniboli,113.109774,36.04298,293,窑头废气排放口;窑尾废气排放口;
63,潞城市卓越水泥有限公司,shuiniboli,113.165862,36.385143,2629,窑头;窑尾;
,山西中宝建材有限公司,shuiniboli,,,-1,
28,华润水泥（长治）有限公司,shuiniboli,113.15945,36.3775,2062,
52,山西晋牌水泥集团建材有限公司,shuiniboli,112.835119,36.093618,583,
69,武乡山水水泥有限公司,shuiniboli,113.148415,36.794356,-1,窑头;窑尾排口;
68,山西青春玻璃有限公司,shuiniboli,113.345833,36.474724,3275,
70,山西日盛达太阳能科技有限公司,shuiniboli,112.95583,36.04889,-1,
66,长治市郊区南村煤化有限公司,jiaohua,113.00333,36.41195,2869,地面除尘站废气排放口;焦炉烟囱排口;
95,山西南耀集团昌晋苑焦化有限公司,jiaohua,113.02056,36.4025,3122,动力车间锅炉;地面除尘站;焦炉烟囱排口;脱硫设施出口;
54,长治市晋鑫煤焦有限责任公司,jiaohua,113.20972,36.44167,2810,地面除尘站废气排放口;焦炉烟囱排口;
,首钢长治钢铁有限公司焦化厂,jiaohua,,,-1,
48,襄垣县恒祥焦化有限公司,jiaohua,113.3686111,36.47611111,-1,焦炉烟囱排口1;焦炉烟囱排口2;脱硫脱硝设施出口;
17,襄垣县鸿达煤化有限公司,jiaohua,113.0336111,36.40888889,2806,焦炉烟囱排口;脱硫脱硝设施出口;装煤出焦地面站废气排放口;
26,山西潞安环能五阳弘峰焦化有限公司,jiaohua,113.03611,36.64056,-1,
64,山西尔安焦化集团有限责任公司,jiaohua,112.90945,36.35944,2482,焦炉烟囱排口;脱硫脱硝设施出口;装煤出焦地面站废气排放口;
,长治市麟源煤业有限责任公司,jiaohua,,,-1,
,屯留县华诚焦化有限责任公司,jiaohua,,,-1,
43,山西潞安祥瑞焦化有限责任公司,jiaohua,112.3177778,36.67555556,-1,
,山西兴旺煤化集团有限责任公司（一期）,jiaohua,,,-1,
,山西兴旺煤化集团有限责任公司（二期）,jiaohua,,,-1,
45,黎城县长福煤气焦化有限公司,jiaohua,113.2225,36.28528,3431,
,黎城华太煤气化有限公司,jiaohua,,,-1,
,壶关县常平实业有限公司,jiaohua,,,-1,
24,山西襄矿集团沁县华安焦化有限公司,jiaohua,112.58167,36.70917,3122,焦炉烟囱排口;脱硫脱硝设施出口;装煤出焦地面站废气排放口;
190,沁源县兴茂煤化有限公司,jiaohua,113.3219444,36.85055556,-1,焦炉烟囱排口;
,山西沁新集团股份有限公司焦化厂,jiaohua,,,-1,
81,沁源县常源焦化有限公司,jiaohua,113.0563889,36.46611111,3186,脱硫脱硝设施出口4;脱硫脱硝设施出口3;脱硫脱硝设施出口2;脱硫脱硝设施出口1;
40,山西明源能源集团有限公司,jiaohua,112.19139,36.40111,3128,1号脱硫脱硝设施出口;
11,山西潞安焦化有限责任公司一分厂,jiaohua,113.02695,36.44722,-1,1号转炉二次烟气排放口;2号转炉二次烟气排放口;焦炉烟囱排口;装煤出焦地面站废气排放口
,山西潞安焦化有限责任公司二分厂,jiaohua,,,-1,
12,山西潞宝集团焦化有限公司,jiaohua,112.5738889,36.71555556,-1,焦炉烟囱排口;
29,山西潞宝集团晋钢兆丰煤化工有限公司,jiaohua,113.1102778,36.44611111,3065,
27,山西潞安环能煤焦化工有限责任公司,jiaohua,112.8997222,36.89972222,-1,
,山西金通焦化集团有限公司,jiaohua,,,-1,
